Position,"Track Name",Artist,URL
1,"Marea (We’ve Lost Dancing)","Fred again..",https://open.spotify.com/track/1t0Jmqg1pKVBbxjQFZebeR
2,"Yucky Blucky Fruitcake",Iamdoechii,https://open.spotify.com/track/1j3SdMJfeRJXycCp50boYE
3,YKWIM?,"Yot Club",https://open.spotify.com/track/7ejeQLLLGjVriLS7cojERB
4,"When You Sleep","my bloody valentine",https://open.spotify.com/track/3HfEgAaf0koxBpBB8NvGda
5,Slippin',DMX,https://open.spotify.com/track/740gNyGWKk98gy8nJLhHrv
6,"X Gon' Give It To Ya",DMX,https://open.spotify.com/track/1zzxoZVylsna2BQB65Ppcb
7,"Ruff Ryders' Anthem",DMX,https://open.spotify.com/track/1BKT2I9x4RGKaKqW4up34s
8,Poison,"Klaus Veen",https://open.spotify.com/track/4kdnniHBTCnzaYXrnsweSf
9,"Sicko Drop",KVSH,https://open.spotify.com/track/5OJbBrGPY4scEGwMysuyLb
10,Rasputin,Majestic,https://open.spotify.com/track/0b18g3G5spr4ZCkz7Y6Q0Q
11,"Only Shallow","my bloody valentine",https://open.spotify.com/track/52UcjsM15hjCQAUbTW2hy1
12,"Track Star",Mooski,https://open.spotify.com/track/5hChuUMe5iHfjkXgzj1D4b
13,"Party Up",DMX,https://open.spotify.com/track/0LWkaEyQRkF0XAms8Bg1fC
14,"My House","Jodie Harsh",https://open.spotify.com/track/2nIaXCaDBXXALg3gKajbLB
15,"I Hear a Symphony","Cody Fry",https://open.spotify.com/track/3iJya7m7trpGv570Ske30n
16,"Iko Iko","Justin Wellington",https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
17,"Leave The Door Open","Bruno Mars",https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
18,"Black Hole",Griff,https://open.spotify.com/track/6xw8ld1ztoCKifwTN6uGDq
19,"Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit",Riton,https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl
20,"A Teen",V.I.C,https://open.spotify.com/track/0Z2D2EwQAdyz42Vhg4TUZ3
21,"Where The Hood At",DMX,https://open.spotify.com/track/6RUpJeXT6U4SPEafnr9Wr7
22,"Astronaut In The Ocean","Masked Wolf",https://open.spotify.com/track/3VT8hOC5vuDXBsHrR53WFh
23,"Cloud 9","Beach Bunny",https://open.spotify.com/track/6vFsBXYczYsP0H3lgunZOm
24,"Unconditional - Acoustic","Sinead Harnett",https://open.spotify.com/track/7j8QEq3Mb8Ulg3qvRRcfNK
25,"On The Ground",ROSÉ,https://open.spotify.com/track/2pn8dNVSpYnAtlKFC8Q0DJ
26,"Heartbreak Anniversary",Giveon,https://open.spotify.com/track/3FAJ6O0NOHQV8Mc5Ri6ENp
27,Fiel,"Los Legendarios",https://open.spotify.com/track/7Bk0uXKk1uPT0XuQbpFzvs
28,"Somebody Loves You","The Snuts",https://open.spotify.com/track/0RWolKaKzYDxm0lf8BR4co
29,"What These Bitches Want",DMX,https://open.spotify.com/track/57kdeoYzgGaKzRWj4XM1u8
30,Damien,DMX,https://open.spotify.com/track/33EvfEwe9JrbEt0PP1lIbt
31,"Little Bit of Love","Tom Grennan",https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
32,"Slumber Party",Ashnikko,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
33,"Summer 91 (Looking Back)",Noizu,https://open.spotify.com/track/4FEcEwbE2vsqhxbTPtiNTL
34,"Let Me Fly",DMX,https://open.spotify.com/track/3iZKQU7zgHw2tFuqD7mdqL
35,"I Miss You",DMX,https://open.spotify.com/track/3DwoQNhaFD3mCKh93w2MHH
36,"Ferrari Horses","D-Block Europe",https://open.spotify.com/track/5erCwioOcRwP59NJUAtEK3
37,"Latest Trends (feat. Aitch) - Remix","A1 x J1",https://open.spotify.com/track/7htmRcPbmrY9oenatxz9UL
38,"We Right Here",DMX,https://open.spotify.com/track/4jttAL9l4N4cFnrLeYcICI
39,Streetside,Bru-C,https://open.spotify.com/track/4HcmKnUwCKsloslonqMzCN
40,Remedies,"Mollie Collins",https://open.spotify.com/track/1bCl2ys5OAbgoEw3vE0B57
41,"Let’s Go Home Together","Ella Henderson",https://open.spotify.com/track/4CH0dVylkeBPydRM7AaG8g
42,Gone,ROSÉ,https://open.spotify.com/track/2dHoVW9AxJVSRebPRyV2aA
43,"Who's Got The Bag (21st June)","The Streets",https://open.spotify.com/track/0fquu5CejT76HhQejc6q7v
44,BED,"Joel Corry",https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
45,"Turn Back Time",Derivakat,https://open.spotify.com/track/42kUY2Cvl9Fy9ccg30dx0j
46,"Strong Feelings","Dry Cleaning",https://open.spotify.com/track/4w7iiR54wJS8qYJG7dwcIX
47,"So Much Love - Radio Edit","Owen Westlake",https://open.spotify.com/track/5SDbXwhQCrDTRmgZPg9Iwk
48,"Cupid's Chokehold / Breakfast in America","Gym Class Heroes",https://open.spotify.com/track/2Lhdl74nwwVGOE2Gv35QuK
49,"Sunshine (The Light)","Fat Joe",https://open.spotify.com/track/6nL0wIy3rcQPqHNAtm61Gh
50,"6am in Brighton",ArrDee,https://open.spotify.com/track/0pvPWDLzZcWFyXO2VantXA
